Lap,Min speed,Max speed,Avg speed,End pos,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
2,13.87,172.70,55.81,13,00:01:12.833,00:00:26.452,00:00:27.548,,,,,,,,,,,,,,,,,
3,0.03,181.83,119.15,19,00:00:59.979,00:00:38.421,00:00:27.382,,,,,,,,,,,,,,,,,
4,63.31,187.35,132.20,15,00:00:59.698,00:00:26.563,00:00:27.036,,,,,,,,,,,,,,,,,
5,64.43,183.96,132.43,15,00:00:59.911,00:00:26.195,00:00:26.928,,,,,,,,,,,,,,,,,
6,65.59,184.25,132.99,15,00:00:59.395,00:00:26.289,00:00:27.068,,,,,,,,,,,,,,,,,
7,59.83,184.11,132.22,15,00:01:00.273,00:00:26.059,00:00:26.978,,,,,,,,,,,,,,,,,
8,61.36,183.51,132.73,15,00:00:59.436,00:00:26.207,00:00:27.019,,,,,,,,,,,,,,,,,
9,58.81,184.36,132.13,15,00:00:59.678,00:00:26.586,00:00:26.965,,,,,,,,,,,,,,,,,
10,63.62,184.95,133.48,15,00:00:59.350,00:00:25.897,00:00:27.005,,,,,,,,,,,,,,,,,
11,61.62,184.42,132.44,15,00:00:59.072,00:00:26.775,00:00:27.208,,,,,,,,,,,,,,,,,
12,66.06,183.94,133.44,16,00:00:59.638,00:00:25.745,00:00:26.900,,,,,,,,,,,,,,,,,
